name,type,people,weather,area,vibe,desc
Manner咖啡（安福路店）,coffee,一个人|情侣|朋友,雨天|不限,徐汇,安静,点杯咖啡坐一会，人不多刚刚好
%Arabica咖啡（静安）,coffee,一个人|情侣|朋友,雨天|不限,静安,安静,发发呆很舒服
安福路小店,walk,闺蜜|情侣,晴天,徐汇,文艺,慢慢逛会发现很多有意思的小店
武康路散步,walk,一个人|情侣,晴天,徐汇,文艺,边走边看老房子很有感觉
徐汇滨江,walk,一个人|情侣,晴天,徐汇,放松,沿江走走风很舒服
静安公园,walk,一个人|家人,晴天,静安,放松,找个地方坐一会发呆
外滩夜景,night,情侣|朋友,晴天,黄浦,放松,晚上灯亮起来真的很好看
南京西路随便逛,walk,朋友|闺蜜,不限,静安,热闹,走累了就随便进一家店
商场随便吃点,food,家人|朋友,雨天|不限,浦东,热闹,不想想的时候最安全的选择
甜品店坐一会,food,情侣|闺蜜,雨天|不限,静安,放松,吃点甜的心情会好
小酒馆坐坐,night,朋友|情侣,不限,静安,热闹,聊聊天放松一下
街边随便走走,walk,所有人,不限,不限,随意,走到哪算哪也挺好
书店待一会,coffee,一个人|情侣,雨天|不限,徐汇,安静,安静待一下午
武康大楼打卡,walk,一个人|情侣|朋友,晴天|不限,徐汇,文艺|出片,老上海标志性建筑，正面、侧面拍照都很出片，周边还有很多文艺小店可顺路逛
上海图书馆（淮海路馆）,coffee,一个人,雨天|不限,徐汇,安静|文艺,环境清幽，藏书丰富，一楼有咖啡馆，看书累了可以点杯饮品，沉浸式享受独处时光
衡山路酒吧街小酌,night,朋友|情侣,不限,徐汇,松弛|热闹,老上海风情酒吧街，既有清吧也有livehouse，晚风里伴着音乐小酌，氛围感拉满
上海植物园赏花,walk,家人|朋友|情侣,晴天,徐汇,清新|放松,四季有不同花卉，春天赏樱、夏天看荷，园区很大，适合散步、野餐、拍照，远离城市喧嚣
张园打卡,walk,闺蜜|情侣|朋友,晴天|不限,静安,复古|出片,老石库门建筑群改造，既有历史韵味，又有高端品牌入驻，随便一拍都是复古大片，适合慢逛
吴江路美食街,food,所有人,不限,静安,热闹|烟火,上海老牌美食街，聚集了生煎、汤包、烤肠等各类小吃，价格亲民，逛吃一站式搞定，夜晚人气更旺
静安寺祈福,walk,一个人|家人|朋友,晴天|不限,静安,庄严|宁静,上海古刹，香火旺盛，红墙金顶很出片，可进去祈福，周边商圈发达，祈福后可顺路逛街
丰盛里夜逛,night,情侣|朋友|闺蜜,不限,静安,热闹|精致,与吴江路联动的夜间经济地标，有各类特色餐吧、酒馆，还有LV巨轮打卡点，灯光璀璨氛围感十足
豫园逛吃,walk|food,家人|朋友|游客,不限,黄浦,热闹|复古,老上海园林式商圈，有湖心亭、九曲桥等标志性景观，还有南翔小笼、梨膏糖等特色美食，适合感受老上海烟火气
南京路步行街逛街,walk,所有人,不限,黄浦,热闹|繁华,上海最繁华的步行街之一，聚集了各类商场、老字号店铺，白天热闹非凡，夜晚灯光璀璨，适合逛吃、购物
田子坊慢逛,walk,闺蜜|情侣|游客,晴天|雨天,黄浦,文艺|小众,老弄堂改造的文艺街区，有很多小众文创店、手作店、咖啡馆，蜿蜒的小巷里藏着很多惊喜，适合慢慢探索
外滩轮渡夜游,night,情侣|朋友,晴天,黄浦,浪漫|放松,从外滩轮渡站坐轮渡到浦东，票价便宜，吹着江风，看两岸夜景，比单纯看外滩更有体验感
陆家嘴看夜景,night,情侣|朋友|家人,晴天|不限,浦东,繁华|震撼,聚集了东方明珠、上海中心等标志性建筑，夜晚灯光亮起，璀璨夺目，适合拍照、散步，感受魔都繁华
迪士尼乐园游玩,walk|night,家人|情侣|朋友|小孩,晴天|不限,浦东,梦幻|热闹,上海必玩地标，有各类游乐项目、花车巡游、烟花表演，无论是小孩还是大人，都能找回童年快乐
世纪公园野餐,walk|food,家人|朋友|情侣,晴天,浦东,放松|清新,浦东最大的城市公园，草坪广阔，植被丰富，适合带野餐垫、零食，晒太阳、聊天，享受慢时光
滨江大道散步,walk,一个人|情侣|朋友,晴天,浦东,放松|惬意,沿黄浦江而建，对面就是外滩，可吹着江风散步，看两岸风景，还有很多长椅可休息，适合放空
张江科学城科创体验,walk,朋友|家人|学生,不限,浦东,科技|新颖,打卡张江科学会堂、科创展示馆，感受前沿科技魅力，适合喜欢科技的朋友，拍照也很有未来感
愚园路漫步,walk,一个人|情侣|闺蜜,晴天,长宁,文艺|静谧,保留着原生居民生活气息，红砖墙、老石库门建筑群，沿街有独立书店、小众咖啡馆，秋日梧桐叶氛围感拉满
中山公园看街艺表演,walk,家人|朋友|一个人,晴天,长宁,热闹|治愈,百年公园，有12大景点，常举办街艺节，持证街头艺人带来歌唱、乐器、魔术表演，草坪可静坐休憩
武夷|MIX320打卡,walk|food,朋友|闺蜜|情侣,不限,长宁,潮流|工业风,老旧厂房改造而成，聚集网红美食、城市露营空间、时尚沙龙，保留工业风建筑，适合拍照、逛吃
新虹桥中心花园野餐,walk|food,家人|朋友|情侣,晴天,长宁,清新|放松,上海市四星级公园，中心湖与蜿蜒水溪串联全园，可携带野餐垫在湖边草坪野餐，傍晚灯光映照湖面更浪漫
半马苏河公园遛娃,walk,家人|小孩,晴天,普陀,放松|童趣,依偎在苏州河畔，有苏州河普陀段最大沙坑，还有飞盘、摇摇马等无动力设施，大人可沿岸散步，小孩尽情玩耍
新杨公园自然研学,walk,家人|小孩,晴天,普陀,清新|治愈,普陀环上公园中面积最大的一座，有林间无动力探险设施、沙坑和种子研究室，让孩子在玩耍中了解自然
李子园公园打卡蝶趣园,walk,家人|小孩|情侣,晴天,普陀,童趣|清新,园内蝶趣园以蝴蝶为主题，有蝴蝶造型雕塑，还有攀爬组合、滑桶、蹦床等无动力设施，适合带娃游玩、拍照
长风公园划船,walk,家人|情侣|朋友,晴天,普陀,放松|惬意,上海老牌公园，有大片湖面，可租船泛舟，周边植被茂密，空气清新，适合周末休闲放松
北外滩滨江散步,walk,一个人|情侣|朋友,晴天|不限,虹口,放松|震撼,3.4公里滨水岸线，可同时看到外滩、陆家嘴天际线，网红“小巨蛋”、白玉兰广场观景台都是必打卡点，白天夜晚都出片
多伦路文化名人街,walk,一个人|朋友|文化爱好者,不限,虹口,文艺|复古,老上海文化街区，有鲁迅、郭沫若等名人故居，还有很多书画店、古玩店，充满文化气息，适合慢逛感受底蕴
北外滩F1格子旗嘉年华,night|walk,朋友|情侣|赛车爱好者,不限,虹口,热闹|刺激,在北外滩国客中心举办，有沿江卡丁车赛道、特色摊位，可体验速度与激情，还能凭票根享受周边商圈折扣
甜爱路打卡,walk,情侣,晴天,虹口,浪漫|文艺,上海最浪漫的小路，路边有爱心邮筒，可寄明信片，墙上满是情侣留言，适合情侣散步、打卡留念
武康路散步,walk,一个人|情侣,晴天,杨浦,文艺|静谧,杨浦段武康路保留着老上海洋房风貌，人少安静，沿街有小众咖啡馆和文创店，适合沉浸式慢逛
五角场商圈逛吃,walk|food,朋友|闺蜜|学生,不限,杨浦,热闹|青春,高校聚集地，商圈热闹非凡，有各类商场、小吃街，价格亲民，适合学生党逛吃、聚会，充满青春气息
杨浦滨江工业风打卡,walk,朋友|情侣|拍照爱好者,晴天|不限,杨浦,复古|出片,昔日工业码头改造，保留了起重机、厂房等工业遗迹，工业风十足，适合拍照，吹着江风散步也很惬意
上海共青森林公园野餐露营,walk|food,家人|朋友|情侣,晴天,杨浦,清新|放松,植被覆盖率高，有大片草坪和森林，可野餐、露营、划船，春天有樱花、郁金香，适合亲近自然
浦江郊野公园小黄鸭乐园,walk,家人|小孩,晴天,闵行,童趣|热闹,以无动力设施为核心的亲子乐园，有海陆空双子塔、淘气堡、捞鱼池等项目，兼顾趣味性与安全性，适合带娃放电
扶摇直升机俱乐部低空游览,walk,朋友|情侣|家人,晴天,闵行,刺激|新颖,紧邻小黄鸭乐园，有多条黄金航线，可乘坐直升机俯瞰浦江第一湾、闵浦大桥等景观，解锁360°全景视角
野空间森林咖啡,coffee,一个人|情侣|朋友,雨天|不限,闵行,安静|治愈,藏身林间的咖啡馆，落地窗景绿意环绕，宠物友好，点一杯咖啡静坐，享受林间的静谧时光
召稼楼古镇逛吃,walk|food,家人|朋友|游客,不限,闵行,复古|烟火,上海古镇之一，有小桥流水、古街古巷，聚集了各类江南小吃，还有手作店，适合感受江南水乡韵味
智慧湾科创园打卡,walk,朋友|情侣|拍照爱好者,不限,宝山,潮流|科技,昔日工业集聚区蜕变而来，有500+彩色集装箱、大黄蜂机器人，出片率拉满，还有各类吃喝玩乐店铺扎堆
中国3D打印文化博物馆,walk,朋友|家人|学生,不限,宝山,科技|新颖,可近距离观赏3D打印桥、3D打印书屋，还能在体验工坊亲手尝试3D打印创作，科技感拉满，拍照也出片
宝山滨江步道散步,walk,一个人|家人|朋友,晴天,宝山,放松|惬意,3公里滨水岸线，融合工业风貌与滨水生态，可吹着江风散步，看江水滔滔，感受工业与自然的碰撞
共富海鲜面馆吃海鲜,food,家人|朋友,不限,宝山,烟火|热闹,被誉为“宝山之光”，海鲜食材新鲜扎实，招牌海鲜面汤头鲜美，配料丰富，饭点常需等位，人气十足
嘉北郊野公园骑行,walk,家人|朋友|情侣,晴天,嘉定,清新|放松,郊野公园面积广阔，有大片花海和田野，可租自行车沿骑行道前行，一边赏景一边运动，享受春日惬意时光
菊园百果园看郁金香,walk,家人|朋友|情侣,晴天,嘉定,清新|出片,园内有6万株郁金香，以复古大风车为中心铺展，像童话世界，适合拍照打卡，感受春日美好
农灯草莓园采摘,walk|food,家人|朋友|小孩,晴天|不限,嘉定,休闲|童趣,草莓季可提着篮子走进大棚，亲手采摘饱满香甜的草莓，尝一口春天的味道，采摘累了可在周边烧烤休闲
馥桂萌宠园互动,walk,家人|小孩,晴天,嘉定,童趣|热闹,可近距离互动卡皮巴拉、羊驼、袋鼠等萌宠，无论是大朋友还是小朋友，都能在这里找到快乐
金山城市沙滩踏浪,walk|food,家人|朋友|情侣,晴天,金山,热闹|放松,上海知名沙滩，有金沙碧海，可玩沙、踏浪，还有高速摩托艇、水上卡丁车等刺激项目，夏日还有沙滩音乐节
金山嘴渔村逛吃,walk|food,家人|朋友|游客,不限,金山,复古|烟火,上海最后一个渔村，保留着渔家风貌，有古街、渔船，可品尝新鲜海鲜，感受渔家生活气息
阿浪欢乐世界游玩,walk,家人|小孩,晴天,金山,童趣|热闹,以海洋文化为灵感的亲子乐园，有旋转木马、大摆锤、玻璃水滑道等12项游艺内容，可从日出嗨到星光
金山滨江大堤观光,walk,一个人|情侣|朋友,晴天,金山,放松|惬意,体验“海上列车”，游览外海堤坝，看海天一色，感受海风吹拂，听海鸟鸣叫，享受自由与浪漫
松江博物馆看文物,walk,家人|朋友|文化爱好者,不限,松江,安静|文艺,免费开放、人少舒适，馆藏文物跨越千年，有石器、陶俑、青铜器等，庭院绿树成荫，逛累了可休息，适合感受历史底蕴
松江科技馆探索新知,walk,家人|小孩|学生,不限,松江,科技|热闹,免费开放，互动项目超多，有G60科创走廊科普展示厅、智能机器人展区、镜子迷宫等，让孩子在玩中学
泰晤士小镇拍照,walk,情侣|闺蜜|拍照爱好者,晴天,松江,文艺|出片,英伦风格小镇，有尖顶教堂、石板路、欧式建筑，仿佛置身国外，适合拍照打卡，还能逛书店、咖啡馆
辰山植物园赏景,walk,家人|朋友|情侣,晴天,松江,清新|放松,植物种类丰富，有温室展馆、樱花大道、矿坑花园，四季有景，适合散步、拍照、野餐，亲近自然
朱家角古镇游船,walk,家人|朋友|情侣|游客,不限,青浦,复古|惬意,上海四大古镇之一，小桥流水、古街古巷，可乘乌篷船游览，看两岸白墙黛瓦，感受江南水乡的温婉
淀山湖骑行,walk,朋友|情侣|骑行爱好者,晴天,青浦,清新|放松,淀山湖是上海最大的淡水湖，周边有骑行道，可租自行车沿湖骑行，吹着湖风，看湖光山色，十分惬意
东方绿舟游玩,walk,家人|小孩|学生,晴天,青浦,热闹|童趣,大型户外拓展基地，有军事体验区、儿童乐园、草坪露营区，可体验拓展项目、露营，适合亲子游、团建
蟠龙天地逛吃,walk|food,朋友|闺蜜|情侣,不限,青浦,文艺|热闹,古镇改造的潮流商圈，保留江南水乡风貌，有很多网红餐厅、文创店、咖啡馆，适合逛吃、拍照
奉贤碧海金沙玩沙戏水,walk|food,家人|朋友|情侣|小孩,晴天,奉贤,热闹|放松,上海最大的人造海滩，海水经过净化，有沙滩排球、水上乐园、贝壳舞台灯光秀，夏日可踏浪、玩水上项目
渔人码头看日落,walk,情侣|朋友|一个人,晴天,奉贤,浪漫|放松,紧邻碧海金沙，可看海上日落，夕阳洒在海面上，景色绝美，还能吃新鲜海鲜，感受渔村风情
上海之鱼拍照,walk,情侣|闺蜜|拍照爱好者,晴天|不限,奉贤,文艺|出片,设计感十足的艺术公园，有湖泊、草坪、特色建筑，适合拍照打卡，散步、野餐也很合适，氛围感拉满
海湾国家森林公园露营,walk|food,家人|朋友|情侣,晴天,奉贤,清新|放松,植被茂密，有大片草坪和森林，可露营、骑行、划船，远离城市喧嚣，适合周末休闲放松，亲近自然
横沙岛小白塔打卡,walk,一个人|情侣|拍照爱好者,晴天,崇明,文艺|静谧,原本是水文站，现在成为网红打卡点，白色外墙搭配芦苇丛和海面，十分出片，周边还有文创小店可逛
横沙岛海岛艺术田园拍照,walk,情侣|闺蜜|拍照爱好者,晴天,崇明,清新|出片,大自然馈赠的春日宝藏，田园风光绝美，是不可错过的梦幻写真地，可沉浸式感受乡村美景
东滩湿地公园观鸟,walk,家人|朋友|自然爱好者,晴天,崇明,清新|静谧,湿地生态环境优越，是候鸟栖息地，可观赏各类鸟类，漫步在木栈道上，感受自然的生机与静谧
横沙白马咖啡小憩,coffee,一个人|情侣|朋友,雨天|不限,崇明,安静|治愈,藏在横沙岛如画风景里，有白色马雕塑作为标志，店内装饰朴素自然，提供手冲咖啡，适合静坐放空
